client_id,days_since_last_transaction,avg_days_between_transactions,effort_required,status,potential_monthly_profit
14,2,1.44,1 Email,active,116369.51400000001
753,3,2.55,1 Visit,active,37081.597
4696,2,1.48,1 Visit,active,42882.700000000004
6839,5,1.59,2 Phone calls,churned,69308.453
8815,5,2.82,1 Email,active,36808.686
12251,2,1.54,1 Visit,active,45105.547000000006
13069,12,2.49,2 Phone calls,churned,37056.35
13875,4,3.33,1 Email,active,41653.611000000004
16630,3,1.62,2 Phone calls,active,46398.314
19006,2,1.7,1 Email,active,48414.941999999995
19470,2,1.5,1 Email,active,70339.01400000001
20240,9,2.31,1 Visit,churned,49230.058000000005
21424,3,1.49,1 Email,active,64550.439000000006
21797,3,1.75,1 Visit,active,62441.46400000001
23100,3,1.58,1 Visit,active,43238.542
24722,2,1.61,1 Email,active,46815.678
24887,3,1.59,1 Email,active,100503.675
25087,20,3.24,2 Phone calls,churned,42990.122
26661,3,1.49,1 Email,active,43570.053
27570,2,3.07,2 Phone calls,active,55482.203
30450,9,1.48,2 Phone calls,churned,73964.414
31213,2,1.46,2 Phone calls,active,381158.264
32211,2,1.45,2 Phone calls,active,94862.261
33945,3,1.47,1 Visit,active,164038.225
36319,2,1.6,2 Phone calls,active,49417.247
37031,10,3.0,1 Visit,churned,36922.342
37298,4,1.58,1 Email,active,48958.128
37973,3,1.7,1 Email,active,59165.657999999996
39877,2,1.32,1 Email,active,114640.38900000001
41428,2,1.58,1 Visit,active,41039.086
41637,2,1.48,1 Email,active,75152.214
42339,2,1.71,1 Email,active,39266.064
44839,2,1.45,1 Visit,active,202842.958
45025,2,1.44,2 Phone calls,active,55744.661
45198,9,1.53,1 Email,churned,62081.775
45773,2,1.48,1 Email,active,50013.675
49886,235,3.17,1 Visit,churned,89872.77100000001
53453,2,1.64,1 Visit,active,41403.811
55014,3,1.49,1 Email,active,39752.514
55137,10,1.59,1 Visit,churned,41934.289
57631,2,1.5,1 Email,active,86861.061
59282,2,2.17,1 Email,active,52042.878
63263,3,1.68,1 Email,active,38486.853
63290,2,1.81,1 Visit,active,43359.889
64577,5,3.54,1 Visit,active,56817.211
67305,536,1.43,1 Visit,churned,170508.22600000002
68390,9,2.25,1 Visit,churned,36810.958000000006
69720,2,1.44,2 Phone calls,active,54332.075000000004
73301,2,1.44,2 Phone calls,active,55679.636
76793,3,2.78,2 Phone calls,active,44288.003
79921,2,1.51,2 Phone calls,active,38414.189
80663,3,1.77,2 Phone calls,active,42162.689
83707,2,2.38,1 Email,active,52346.808000000005
84365,2,1.96,2 Phone calls,active,52993.586
86499,2,1.47,1 Email,active,36970.461
