client_id,days_since_last_transaction,avg_days_between_transactions,effort_required,status,potential_monthly_profit
14,2,1.44,1 Email,active,116369.51
753,3,2.55,1 Visit,active,37081.6
4696,2,1.48,1 Visit,active,42882.7
6839,5,1.59,2 Phone calls,churned,69308.45
8815,5,2.82,1 Email,active,36808.69
12251,2,1.54,1 Visit,active,45105.55
13069,12,2.49,2 Phone calls,churned,37056.35
13875,4,3.33,1 Email,active,41653.61
16630,3,1.62,2 Phone calls,active,46398.31
19006,2,1.7,1 Email,active,48414.94
19470,2,1.5,1 Email,active,70339.01
20240,9,2.31,1 Visit,churned,49230.06
21424,3,1.49,1 Email,active,64550.44
21797,3,1.75,1 Visit,active,62441.46
23100,3,1.58,1 Visit,active,43238.54
24722,2,1.61,1 Email,active,46815.68
24887,3,1.59,1 Email,active,100503.68
25087,20,3.24,2 Phone calls,churned,42990.12
26661,3,1.49,1 Email,active,43570.05
27570,2,3.07,2 Phone calls,active,55482.2
30450,9,1.48,2 Phone calls,churned,73964.41
31213,2,1.46,2 Phone calls,active,381158.26
32211,2,1.45,2 Phone calls,active,94862.26
33945,3,1.47,1 Visit,active,164038.22
36319,2,1.6,2 Phone calls,active,49417.25
37031,10,3.0,1 Visit,churned,36922.34
37298,4,1.58,1 Email,active,48958.13
37973,3,1.7,1 Email,active,59165.66
39877,2,1.32,1 Email,active,114640.39
41428,2,1.58,1 Visit,active,41039.09
41637,2,1.48,1 Email,active,75152.21
42339,2,1.71,1 Email,active,39266.06
44839,2,1.45,1 Visit,active,202842.96
45025,2,1.44,2 Phone calls,active,55744.66
45198,9,1.53,1 Email,churned,62081.78
45773,2,1.48,1 Email,active,50013.68
49886,235,3.17,1 Visit,churned,89872.77
53453,2,1.64,1 Visit,active,41403.81
55014,3,1.49,1 Email,active,39752.51
55137,10,1.59,1 Visit,churned,41934.29
57631,2,1.5,1 Email,active,86861.06
59282,2,2.17,1 Email,active,52042.88
63263,3,1.68,1 Email,active,38486.85
63290,2,1.81,1 Visit,active,43359.89
64577,5,3.54,1 Visit,active,56817.21
67305,536,1.43,1 Visit,churned,170508.23
68390,9,2.25,1 Visit,churned,36810.96
69720,2,1.44,2 Phone calls,active,54332.08
73301,2,1.44,2 Phone calls,active,55679.64
76793,3,2.78,2 Phone calls,active,44288.0
79921,2,1.51,2 Phone calls,active,38414.19
80663,3,1.77,2 Phone calls,active,42162.69
83707,2,2.38,1 Email,active,52346.81
84365,2,1.96,2 Phone calls,active,52993.59
86499,2,1.47,1 Email,active,36970.46
87696,2,1.52,1 Visit,active,39361.45
91749,2,1.53,1 Visit,active,44844.48
92655,2,1.44,1 Email,active,65200.54
97492,2,1.56,1 Visit,active,94667.28
102519,5,2.12,2 Phone calls,active,46811.83
103426,2,1.44,1 Email,active,70028.74
106085,2,1.49,1 Email,active,60207.11
106107,9,2.4,1 Email,churned,45229.76
106488,2,1.46,2 Phone calls,active,125711.15
109692,5,2.17,1 Visit,active,93061.08
113149,3,1.46,1 Email,active,126478.54
113177,2,1.62,1 Email,active,52565.81
114046,12,1.7,2 Phone calls,churned,43087.66
117098,9,1.84,1 Email,churned,49781.02
117709,5,1.53,1 Visit,churned,130467.1
118157,5,1.83,1 Email,active,61776.41
118261,2,1.45,2 Phone calls,active,62801.6
120273,2,1.57,1 Visit,active,52658.57
124349,9,1.58,1 Email,churned,53010.86
125578,2,1.44,1 Email,active,85965.3
130549,2,1.47,2 Phone calls,active,41448.69
135325,2,1.86,1 Email,active,153330.34
135616,4,1.51,1 Visit,active,44375.65
138242,2,1.57,2 Phone calls,active,41278.21
139835,2,1.45,1 Email,active,75760.42
140313,157,1.53,2 Phone calls,churned,84701.94
141736,9,1.61,1 Email,churned,48478.2
145272,2,1.45,1 Visit,active,39346.79
149433,2,1.81,1 Email,active,39102.98
151397,4,1.49,1 Visit,active,71617.75
152409,4,1.64,1 Email,active,50879.36
153890,3,1.5,1 Email,active,95476.31
159644,3,2.53,1 Email,active,43315.5
160781,3,1.71,2 Phone calls,active,40924.78
161977,2,1.49,1 Visit,active,49240.79
163448,2,1.53,2 Phone calls,active,77639.08
163472,2,1.49,1 Visit,active,44409.06
163536,177,50.75,1 Visit,churned,49466.35
166624,2,1.81,2 Phone calls,active,82600.44
168204,3,1.51,1 Visit,active,60006.85
170391,2,1.67,1 Email,active,64364.02
171132,2,2.87,2 Phone calls,active,60008.6
171312,2,1.73,2 Phone calls,active,80083.74
174547,185,1.6,2 Phone calls,churned,70456.95
177646,3,1.79,2 Phone calls,active,44069.3
178746,24,2.22,2 Phone calls,churned,41515.05
178851,9,2.22,1 Visit,churned,38968.67
179892,2,1.85,2 Phone calls,active,56999.79
184887,3,1.46,1 Visit,active,55202.39
186500,5,1.85,2 Phone calls,active,38792.49
186614,2,1.46,2 Phone calls,active,85101.61
186700,3,1.49,1 Email,active,67704.64
187061,11,2.59,1 Visit,churned,61155.25
187747,2,1.47,2 Phone calls,active,73767.24
188926,2,1.47,1 Visit,active,214424.31
191381,9,1.48,1 Visit,churned,47644.11
192301,2,1.53,2 Phone calls,active,104583.42
193064,9,1.61,2 Phone calls,churned,56727.65
195689,2,1.46,1 Email,active,71632.8
197191,3,1.56,2 Phone calls,active,55523.75
200803,2,1.49,1 Email,active,40840.2
201675,2,1.52,1 Visit,active,125849.88
203244,2,1.45,1 Visit,active,136677.55
206643,4,1.56,1 Visit,active,36803.16
208344,5,2.82,2 Phone calls,active,43049.79
213494,3,2.04,2 Phone calls,active,57652.85
213668,3,1.53,2 Phone calls,active,75088.44
214751,4,1.61,1 Email,active,40474.65
216261,2,1.58,2 Phone calls,active,45189.99
218905,4,1.63,1 Visit,active,50507.35
224524,2,1.37,2 Phone calls,active,127139.26
229782,4,1.56,1 Visit,active,56353.04
232611,3,1.48,1 Email,active,99923.33
234785,18,2.99,1 Email,churned,63265.61
237647,5,2.27,1 Email,active,125718.34
238215,2,1.45,2 Phone calls,active,110381.79
239348,2,2.49,2 Phone calls,active,46710.27
240088,2,1.44,2 Phone calls,active,49137.54
242501,2,1.51,2 Phone calls,active,52333.62
245066,4,4.8,2 Phone calls,active,36436.4
245272,2,1.45,1 Email,active,161420.06
246242,3,1.72,1 Visit,active,70403.73
249873,9,2.24,1 Email,churned,54060.04
250790,2,1.44,2 Phone calls,active,207503.0
250977,2,1.46,1 Visit,active,103840.45
251920,11,2.11,1 Visit,churned,62104.79
254563,3,1.92,1 Visit,active,52552.98
254694,5,2.73,1 Visit,active,36683.28
254713,2,1.46,1 Visit,active,180331.9
255794,2,1.45,1 Visit,active,169659.89
257861,2,1.44,1 Email,active,85929.64
257929,2,1.49,2 Phone calls,active,54666.88
258317,2,1.56,2 Phone calls,active,53864.86
259345,2,1.44,1 Email,active,61388.06
264180,2,1.53,1 Email,active,72271.31
264770,2,1.52,1 Email,active,54289.65
264820,1,1.4,1 Visit,active,82397.05
267074,9,1.91,1 Email,churned,65553.56
267327,2,2.66,1 Email,active,40775.81
267660,3,1.56,1 Email,active,43017.15
268249,2,1.45,1 Visit,active,186961.64
269678,2,1.44,1 Email,active,140744.4
270017,4,1.47,1 Visit,active,52572.7
270023,2,1.56,1 Email,active,67242.71
270053,3,2.1,1 Email,active,63548.32
271317,10,1.72,1 Visit,churned,44123.54
271918,2,1.64,1 Visit,active,40477.41
274010,2,1.48,1 Visit,active,123268.26
274607,2,1.54,2 Phone calls,active,49293.27
274652,3,1.53,1 Visit,active,45542.42
275785,2,1.57,2 Phone calls,active,53380.51
276399,11,3.41,1 Email,churned,41584.43
282205,2,1.45,1 Email,active,42840.22
282316,2,1.44,1 Email,active,55726.27
283373,2,1.51,1 Email,active,63862.76
283625,2,1.44,1 Email,active,119979.07
284343,2,1.85,1 Visit,active,51767.72
285995,2,1.47,1 Visit,active,58426.56
286249,2,1.89,1 Visit,active,46610.69
287028,2,1.44,1 Visit,active,37171.34
287031,9,1.69,2 Phone calls,churned,51232.63
291547,2,1.46,2 Phone calls,active,74276.86
293976,2,2.2,1 Email,active,73319.1
295075,3,1.47,1 Visit,active,55103.91
296199,2,1.57,1 Visit,active,38533.75
296291,4,1.52,1 Email,active,95745.75
296821,3,6.82,1 Visit,active,36168.66
297446,5,2.12,2 Phone calls,active,47833.21
297733,3,1.46,1 Visit,active,110299.86
299463,2,2.29,2 Phone calls,active,39768.99
304356,19,24.12,1 Visit,active,40895.91
305386,3,1.6,1 Visit,active,45926.01
310924,2,1.45,1 Email,active,93176.4
312446,2,1.46,1 Email,active,48199.91
313304,2,1.45,1 Email,active,112874.47
315496,2,1.48,1 Email,active,179881.84
316963,2,1.48,2 Phone calls,active,142215.76
317207,2,1.44,1 Visit,active,41149.34
317406,9,1.48,2 Phone calls,churned,53781.61
318912,11,1.94,1 Email,churned,40171.8
318938,11,2.15,1 Email,churned,38447.29
319093,2,1.53,2 Phone calls,active,40103.15
319575,2,1.45,1 Email,active,59620.35
322573,4,1.54,1 Email,active,66156.04
323038,2,1.43,1 Email,active,62598.26
324012,2,1.44,1 Visit,active,363447.81
324900,3,2.18,2 Phone calls,active,36794.56
325331,2,1.54,1 Visit,active,43315.11
328035,2,1.47,2 Phone calls,active,46185.09
331825,3,1.51,1 Email,active,49759.39
334340,2,2.81,1 Email,active,83357.03
334437,9,1.61,2 Phone calls,churned,38069.19
334812,3,1.51,1 Visit,active,92485.26
335696,2,1.34,1 Email,active,39179.44
337414,2,1.45,1 Email,active,202341.9
339007,2,1.46,1 Email,active,61543.35
341268,4,1.5,2 Phone calls,active,55953.95
341530,2,1.48,2 Phone calls,active,55074.73
343904,5,7.67,1 Visit,active,37635.93
345269,3,1.45,2 Phone calls,active,106284.01
345535,9,1.74,1 Email,churned,44040.64
346256,2,1.46,1 Email,active,354513.38
346874,3,1.83,2 Phone calls,active,47978.79
347733,2,1.45,1 Email,active,53826.86
349178,2,1.48,1 Email,active,59735.63
349291,2,1.52,1 Visit,active,65532.89
349300,9,1.65,1 Visit,churned,56252.69
349582,2,1.45,1 Visit,active,112814.39
349666,3,1.7,1 Email,active,44478.64
351570,2,1.45,2 Phone calls,active,138338.9
351723,9,1.49,1 Email,churned,58597.99
356814,5,1.69,1 Email,active,101601.79
359511,9,1.75,1 Visit,churned,68851.68
360673,2,1.68,2 Phone calls,active,42634.62
362470,4,1.5,2 Phone calls,active,36319.55
365271,4,2.86,1 Email,active,86170.95
367675,3,1.68,1 Visit,active,36148.34
368527,2,1.45,1 Visit,active,50783.65
371301,3,1.46,1 Visit,active,103256.72
372912,3,1.48,1 Visit,active,75229.86
373049,2,1.62,1 Email,active,50401.69
374188,10,1.77,1 Visit,churned,55719.36
374756,2,1.77,1 Visit,active,38018.84
377332,10,2.04,1 Visit,churned,40921.0
377854,9,1.96,2 Phone calls,churned,57899.19
378189,9,1.69,1 Visit,churned,40888.04
378412,2,1.54,2 Phone calls,active,40027.89
380433,2,1.49,1 Email,active,85715.81
381292,2,1.62,1 Visit,active,119912.84
382824,10,1.7,1 Visit,churned,90713.88
385383,2,1.46,2 Phone calls,active,104043.31
385520,2,1.49,1 Email,active,77470.69
388586,2,1.6,1 Visit,active,50002.98
390895,3,1.45,2 Phone calls,active,46404.01
392667,2,1.46,1 Visit,active,47583.44
393868,10,1.77,1 Email,churned,54417.08
397951,2,1.45,2 Phone calls,active,45623.0
398204,2,1.44,1 Visit,active,65928.32
398705,13,2.53,1 Visit,churned,69068.27
399037,3,1.5,2 Phone calls,active,36755.0
403467,2,3.35,2 Phone calls,active,57236.19
406145,2,1.49,1 Email,active,41587.2
407345,10,1.74,1 Email,churned,41798.89
407858,2,1.46,1 Visit,active,46198.19
409987,2,1.42,1 Visit,active,186718.04
413168,4,1.95,2 Phone calls,active,49490.26
417576,2,1.43,1 Visit,active,1033134.51
418450,2,1.46,2 Phone calls,active,46186.59
424287,5,1.55,2 Phone calls,churned,60003.91
430146,2,1.5,1 Email,active,99538.2
431555,2,1.48,1 Email,active,76967.4
432972,3,1.47,1 Email,active,38707.99
433367,13,2.77,1 Email,churned,46728.26
433629,2,1.54,1 Email,active,96689.85
435648,2,1.77,2 Phone calls,active,40524.8
436537,2,1.86,2 Phone calls,active,71359.7
436955,2,1.69,2 Phone calls,active,71813.71
438726,2,1.47,1 Email,active,145787.92
439866,2,1.47,2 Phone calls,active,87443.94
440241,2,1.47,2 Phone calls,active,83242.62
440342,2,1.51,1 Email,active,67673.32
441144,2,1.91,1 Visit,active,43242.59
442588,2,1.44,1 Email,active,124861.72
444843,2,1.46,1 Email,active,58553.4
445592,362,26.18,1 Email,churned,128348.4
454245,4,1.5,1 Visit,active,38882.65
458364,2,1.55,2 Phone calls,active,39444.8
458423,2,1.78,2 Phone calls,active,40159.14
464351,2,1.45,1 Visit,active,41170.9
469125,9,2.54,1 Email,churned,43564.8
471983,10,3.59,2 Phone calls,active,42682.81
472099,2,1.53,1 Visit,active,83064.81
472512,9,1.47,1 Visit,churned,54346.49
472514,11,1.92,1 Email,churned,51951.45
472898,3,1.96,2 Phone calls,active,63326.49
473896,3,1.48,1 Email,active,73635.41
474373,2,1.67,1 Email,active,49761.04
475640,2,1.54,1 Email,active,88754.81
476807,5,1.48,2 Phone calls,churned,51900.39
477675,2,1.47,2 Phone calls,active,38207.97
487011,9,1.78,1 Email,churned,62252.51
489052,2,1.44,1 Visit,active,45254.24
491882,13,4.73,2 Phone calls,active,45130.44
498112,2,1.42,2 Phone calls,active,113251.14
502068,2,1.81,1 Visit,active,38008.9
505460,2,1.5,1 Email,active,40799.85
506296,2,1.46,2 Phone calls,active,111280.4
507553,2,1.5,1 Email,active,51455.66
508501,2,1.54,2 Phone calls,active,52018.59
511577,2,1.46,2 Phone calls,active,127275.57
511962,2,1.42,1 Visit,active,44371.82
512660,23,3.62,1 Visit,churned,43310.63
513380,2,1.44,1 Email,active,100795.12
516405,2,1.45,1 Visit,active,71573.16
517065,2,1.51,1 Email,active,76234.16
517554,4,1.65,1 Visit,active,44467.38
517696,2,1.47,1 Visit,active,152924.16
520988,2,1.49,1 Visit,active,82697.31
521232,2,1.44,2 Phone calls,active,41458.29
526216,2,1.53,1 Visit,active,58250.95
526883,5,1.45,1 Visit,churned,120346.0
527348,9,1.64,1 Email,churned,51304.28
528366,13,2.82,1 Visit,churned,76611.48
528506,2,1.52,1 Visit,active,157453.45
529000,5,2.06,1 Email,active,49989.71
530188,3,1.72,1 Visit,active,62370.25
534843,2,1.44,2 Phone calls,active,93559.51
535319,3,1.69,1 Visit,active,57326.05
535956,9,2.34,2 Phone calls,churned,41332.36
537935,4,1.53,1 Visit,active,47341.23
539483,2,1.54,2 Phone calls,active,47208.5
542924,9,1.57,1 Email,churned,51313.2
542988,2,1.93,2 Phone calls,active,45892.32
545353,3,1.5,1 Visit,active,42124.64
548596,4,1.85,2 Phone calls,active,41948.11
548753,3,1.52,1 Visit,active,79266.48
549675,3,1.48,2 Phone calls,active,43414.47
550516,4,1.61,2 Phone calls,active,63427.92
551651,2,1.46,1 Email,active,175060.09
553655,2,1.44,1 Visit,active,80047.41
558325,2,1.55,1 Visit,active,97700.5
559811,2,1.44,1 Visit,active,175845.44
560228,3,1.49,2 Phone calls,active,63560.15
562648,2,1.48,1 Visit,active,64243.04
564422,4,1.59,1 Email,active,244382.29
566169,9,1.67,2 Phone calls,churned,92623.92
569096,2,1.51,2 Phone calls,active,77526.72
569729,4,1.59,2 Phone calls,active,69426.05
572750,3,2.03,2 Phone calls,active,36512.98
573452,2,1.49,1 Visit,active,56489.95
574461,2,1.53,1 Email,active,38657.18
575414,2,1.52,2 Phone calls,active,42735.54
576532,12,3.44,2 Phone calls,churned,49814.08
577056,1,1.75,1 Visit,active,40689.25
577099,3,1.52,1 Visit,active,103650.32
578376,2,1.88,2 Phone calls,active,43525.29
580237,2,1.51,2 Phone calls,active,62048.26
582299,5,3.37,1 Visit,active,125231.2
589035,2,1.5,2 Phone calls,active,51845.45
591832,2,1.45,1 Email,active,106512.19
593006,2,1.45,2 Phone calls,active,200160.58
596258,9,1.46,1 Email,churned,259787.25
596775,2,1.48,1 Visit,active,111655.9
597355,5,1.66,2 Phone calls,churned,37589.04
598278,2,1.5,1 Visit,active,62917.11
598931,4,1.78,2 Phone calls,active,57841.21
600098,2,1.51,1 Email,active,36613.28
600933,5,1.51,1 Visit,churned,51862.75
604261,2,1.48,1 Email,active,89611.8
604791,10,3.29,1 Email,churned,67004.03
606445,5,1.75,1 Email,active,51605.89
606891,2,1.55,1 Email,active,41902.31
607998,20,3.57,1 Visit,churned,56528.88
609244,2,1.46,1 Visit,active,71566.56
611953,2,1.54,2 Phone calls,active,47056.89
612396,2,1.46,1 Email,active,105260.51
613336,2,1.45,2 Phone calls,active,71762.6
614764,4,1.73,2 Phone calls,active,57636.5
618691,11,4.13,1 Email,active,44595.15
621340,3,1.64,2 Phone calls,active,61757.23
623096,4,1.55,1 Visit,active,50180.09
625545,2,1.45,1 Email,active,49546.35
625780,2,1.49,2 Phone calls,active,50280.8
626527,3,1.49,2 Phone calls,active,55325.56
627824,2,1.57,1 Email,active,37924.95
628011,3,1.64,1 Visit,active,39529.98
631391,12,3.84,1 Visit,churned,46451.35
631876,9,1.95,2 Phone calls,churned,174209.53
632774,2,1.49,1 Visit,active,61688.16
635072,2,1.61,1 Visit,active,67669.19
635328,2,1.78,1 Visit,active,51216.74
636796,2,1.45,2 Phone calls,active,41728.32
636823,3,2.29,1 Email,active,117399.04
638703,3,1.68,1 Email,active,54874.95
638795,2,1.45,1 Visit,active,45328.6
